Id,Label,sector,texto,puntuacion_usuario
User_1,Usuario_1,Tecno-Optimista,La inteligencia artificial es la herramienta del futuro para hacer más eficiente el desarrollo social y el progreso.,4
User_2,Usuario_2,Tecno-Optimista,La inteligencia artificial es una oportunidad de innovación y eficiencia para el crecimiento de las empresas.,5
User_3,Usuario_3,Tecno-Optimista,La inteligencia artificial es una oportunidad de innovación y eficiencia para el crecimiento de las empresas.,4
User_4,Usuario_4,Tecno-Optimista,"Gracias a la IA, experimentamos una era de crecimiento científico y esperanza en resolver el cambio climático.",4
User_5,Usuario_5,Tecno-Optimista,La inteligencia artificial es la herramienta del futuro para hacer más eficiente el desarrollo social y el progreso.,5
User_6,Usuario_6,Tecno-Optimista,"Los sistemas de IA optimizan la toma de decisiones empresariales, garantizando un aumento de eficiencia sin precedentes.",5
User_7,Usuario_7,Tecno-Optimista,La automatización mediante IA aumenta la productividad laboral y genera nuevas oportunidades de empleo de alta calidad.,4
User_8,Usuario_8,Tecno-Optimista,"La IA en las escuelas fomenta la creatividad y personaliza la educación, garantizando una innovación histórica.",5
User_9,Usuario_9,Tecno-Optimista,"La IA en las escuelas fomenta la creatividad y personaliza la educación, garantizando una innovación histórica.",5
User_10,Usuario_10,Tecno-Optimista,"La IA democratiza el acceso a la tecnología avanzada, creando un ecosistema de innovación inclusivo y lleno de oportunidades.",5
User_11,Usuario_11,Tecno-Optimista,La inteligencia artificial es la herramienta del futuro para hacer más eficiente el desarrollo social y el progreso.,3
User_12,Usuario_12,Tecno-Optimista,"Los sistemas de IA optimizan la toma de decisiones empresariales, garantizando un aumento de eficiencia sin precedentes.",5
User_13,Usuario_13,Tecno-Optimista,"La IA en las escuelas fomenta la creatividad y personaliza la educación, garantizando una innovación histórica.",5
User_14,Usuario_14,Tecno-Optimista,El desarrollo tecnológico de la IA representa un progreso indudable y la solución a grandes desafíos científicos del futuro.,4
User_15,Usuario_15,Tecno-Optimista,El desarrollo tecnológico de la IA representa un progreso indudable y la solución a grandes desafíos científicos del futuro.,5
User_16,Usuario_16,Tecno-Optimista,"La IA democratiza el acceso a la tecnología avanzada, creando un ecosistema de innovación inclusivo y lleno de oportunidades.",5
User_17,Usuario_17,Tecno-Optimista,La automatización mediante IA aumenta la productividad laboral y genera nuevas oportunidades de empleo de alta calidad.,4
User_18,Usuario_18,Tecno-Optimista,"Los sistemas de IA optimizan la toma de decisiones empresariales, garantizando un aumento de eficiencia sin precedentes.",4
User_19,Usuario_19,Tecno-Optimista,La inteligencia artificial es la herramienta del futuro para hacer más eficiente el desarrollo social y el progreso.,2
User_20,Usuario_20,Tecno-Optimista,"Gracias a la IA, experimentamos una era de crecimiento científico y esperanza en resolver el cambio climático.",3
User_21,Usuario_21,Tecno-Optimista,La inteligencia artificial es una oportunidad de innovación y eficiencia para el crecimiento de las empresas.,5
User_22,Usuario_22,Tecno-Optimista,"La IA en las escuelas fomenta la creatividad y personaliza la educación, garantizando una innovación histórica.",5
User_23,Usuario_23,Tecno-Optimista,El desarrollo tecnológico de la IA representa un progreso indudable y la solución a grandes desafíos científicos del futuro.,4
User_24,Usuario_24,Tecno-Optimista,"Gracias a la IA, experimentamos una era de crecimiento científico y esperanza en resolver el cambio climático.",5
User_25,Usuario_25,Tecno-Optimista,El desarrollo tecnológico de la IA representa un progreso indudable y la solución a grandes desafíos científicos del futuro.,4
User_26,Usuario_26,Tecno-Optimista,"Gracias a la IA, experimentamos una era de crecimiento científico y esperanza en resolver el cambio climático.",5
User_27,Usuario_27,Tecno-Optimista,El desarrollo tecnológico de la IA representa un progreso indudable y la solución a grandes desafíos científicos del futuro.,5
User_28,Usuario_28,Tecno-Optimista,La inteligencia artificial es la herramienta del futuro para hacer más eficiente el desarrollo social y el progreso.,5
User_29,Usuario_29,Tecno-Optimista,La inteligencia artificial es la herramienta del futuro para hacer más eficiente el desarrollo social y el progreso.,4
User_30,Usuario_30,Tecno-Optimista,"La IA en las escuelas fomenta la creatividad y personaliza la educación, garantizando una innovación histórica.",4
